date,map,result,kills,deaths,assists,hs,hs_percent,kd,kr,mvps,adr,first_kills,first_deaths,entry_count,entry_wins,rounds_played,overtime,match_duration_min,my_team_score,enemy_team_score,round_difference
2025-10-20 18:04:32,de_overpass,Win,15,14,3,4,27.0,1.07,0.65,3,68.7,1,2,3,1,23,False,40.3,13,10,3
2025-10-16 03:02:48,de_overpass,Win,18,9,2,9,50.0,2.0,1.0,4,96.7,3,2,5,3,18,False,29.6,13,5,8
2025-10-16 02:00:05,de_mirage,Win,18,21,11,10,56.0,0.86,0.6,4,66.0,0,3,3,0,30,True,49.1,16,14,2
2025-10-16 01:10:34,de_mirage,Loss,22,17,4,10,45.0,1.29,0.92,4,94.9,0,3,3,0,24,False,38.3,11,13,-2
2025-10-15 19:03:10,de_mirage,Loss,12,16,3,3,25.0,0.75,0.63,1,74.2,1,3,4,1,19,False,33.6,13,6,7
2025-10-15 18:18:24,de_dust2,Loss,18,15,3,12,67.0,1.2,0.78,4,79.4,1,2,3,1,23,False,37.9,10,13,-3
2025-10-15 02:51:09,de_overpass,Win,14,17,8,8,57.0,0.82,0.7,1,92.0,5,7,12,5,20,False,35.3,7,13,-6
2025-10-15 02:10:25,de_mirage,Loss,10,16,3,6,60.0,0.62,0.48,0,61.6,2,2,4,2,21,False,35.8,13,8,5
2025-10-15 00:53:25,de_nuke,Win,13,14,3,6,46.0,0.93,0.65,2,74.6,1,2,3,1,20,False,34.1,13,7,6
2025-10-14 02:18:37,de_mirage,Loss,16,17,3,9,56.0,0.94,0.73,1,76.0,1,4,5,1,22,False,33.8,9,13,-4
2025-10-14 01:39:11,de_inferno,Win,15,15,3,12,80.0,1.0,0.75,1,76.6,3,3,6,3,20,False,34.1,7,13,-6
2025-10-14 00:40:56,de_train,Win,24,19,11,14,58.0,1.26,0.86,4,108.7,3,1,4,3,28,True,48.1,16,12,4
2025-10-14 00:02:18,de_dust2,Loss,9,16,6,6,67.0,0.56,0.45,1,55.2,0,2,2,0,20,False,31.4,13,7,6
2025-10-13 14:47:44,de_nuke,Win,23,31,12,12,52.0,0.74,0.64,1,86.4,4,3,7,4,36,True,70.3,17,19,-2
2025-10-13 14:12:06,de_dust2,Win,9,14,7,8,89.0,0.64,0.45,0,67.8,3,1,4,3,20,False,31.5,7,13,-6
2025-10-13 04:00:39,de_nuke,Win,21,12,5,10,48.0,1.75,1.11,5,102.9,1,2,3,1,19,False,29.2,13,6,7
2025-10-13 03:24:41,de_dust2,Win,23,13,2,14,61.0,1.77,1.1,4,103.2,3,1,4,3,21,False,31.1,8,13,-5
2025-10-12 04:23:16,de_nuke,Win,22,16,3,10,45.0,1.38,1.1,4,105.0,8,2,10,8,20,False,30.1,7,13,-6
2025-10-12 03:49:34,de_nuke,Win,15,11,3,7,47.0,1.36,0.79,4,85.1,3,2,5,3,19,False,30.4,6,13,-7
2025-10-12 00:36:03,de_mirage,Loss,15,19,10,6,40.0,0.79,0.68,2,80.5,4,1,5,4,22,False,36.0,9,13,-4
2025-10-11 23:52:21,de_mirage,Loss,17,17,3,6,35.0,1.0,0.81,2,96.1,4,6,10,4,21,False,38.5,13,8,5
2025-10-11 23:19:10,de_dust2,Win,17,11,4,13,76.0,1.55,0.94,2,103.6,4,1,5,4,18,False,27.6,13,5,8
2025-10-11 18:31:54,de_dust2,Win,37,20,13,14,38.0,1.85,1.32,7,144.3,6,3,9,6,28,True,45.7,12,16,-4
2025-10-11 17:46:35,de_ancient,Win,12,16,8,8,67.0,0.75,0.57,1,85.4,3,3,6,3,21,False,33.5,8,13,-5
2025-10-11 16:50:05,de_inferno,Win,30,13,6,11,37.0,2.31,1.43,8,163.6,7,0,7,7,21,False,41.7,13,8,5
2025-10-11 16:03:11,de_dust2,Loss,16,16,2,9,56.0,1.0,0.7,2,79.1,2,1,3,2,23,False,34.3,13,10,3
2025-10-11 03:44:01,de_dust2,Loss,12,17,6,4,33.0,0.71,0.6,3,69.4,2,3,5,2,20,False,30.9,13,7,6
2025-10-11 03:13:01,de_train,Loss,5,14,5,4,80.0,0.36,0.33,0,60.9,1,1,2,1,15,False,24.1,13,2,11
2025-10-11 02:41:57,de_nuke,Win,20,11,6,9,45.0,1.82,1.05,5,117.3,4,0,4,4,19,False,27.5,6,13,-7
2025-10-11 01:35:51,de_dust2,Loss,21,15,2,14,67.0,1.4,0.91,4,95.0,3,2,4,2,23,False,38.9,13,10,3
2025-10-11 00:56:44,de_mirage,Loss,26,16,6,13,50.0,1.62,1.24,3,121.7,6,1,7,6,21,False,35.5,8,13,-5
2025-10-10 15:52:16,de_mirage,Win,13,13,5,8,62.0,1.0,0.68,1,75.8,2,1,3,2,19,False,30.7,6,13,-7
2025-10-10 15:05:00,de_nuke,Loss,6,14,1,3,50.0,0.43,0.43,1,56.6,2,1,3,2,14,False,27.3,1,13,-12
2025-10-10 13:51:09,de_inferno,Win,37,19,8,14,38.0,1.95,1.28,6,128.3,4,4,8,4,29,True,48.9,13,16,-3
2025-10-10 13:18:01,de_train,Win,16,9,8,7,44.0,1.78,0.89,3,101.2,2,2,4,2,18,False,26.4,5,13,-8
2025-10-10 04:05:42,de_nuke,Win,39,20,9,22,56.0,1.95,1.3,8,134.8,5,4,9,5,30,True,53.0,16,14,2
2025-10-10 02:11:11,de_dust2,Win,20,15,4,14,70.0,1.33,0.95,1,98.1,4,1,5,4,21,False,37.6,13,8,5
2025-10-09 02:43:01,de_mirage,Win,38,28,13,19,50.0,1.36,1.06,5,117.6,9,8,17,9,36,True,60.4,19,17,2
2025-10-09 01:58:26,de_mirage,Loss,20,15,6,8,40.0,1.33,0.83,4,90.0,4,2,6,4,24,False,40.6,13,11,2
2025-10-08 23:13:52,de_inferno,Loss,14,18,3,7,50.0,0.78,0.7,1,76.8,2,3,5,2,20,False,37.9,13,7,6
2025-10-08 22:52:45,de_dust2,Loss,3,11,2,1,33.0,0.27,0.25,0,47.2,0,4,4,0,12,False,18.3,11,1,10
2025-10-08 22:14:53,de_dust2,Loss,19,17,9,11,58.0,1.12,0.83,3,90.1,2,3,5,2,23,False,35.2,10,13,-3
2025-10-08 21:40:03,de_train,Win,23,10,4,12,52.0,2.3,1.15,3,105.9,4,2,6,4,20,False,31.9,13,7,6
2025-10-08 18:10:12,de_dust2,Loss,16,18,6,6,38.0,0.89,0.76,2,71.2,1,7,8,1,21,False,33.3,8,13,-5
2025-10-08 16:45:24,de_dust2,Loss,20,16,6,10,50.0,1.25,0.95,3,96.0,1,2,3,1,21,False,34.2,13,8,5
2025-10-08 02:47:48,de_dust2,Loss,14,16,4,5,36.0,0.88,0.64,3,81.4,1,2,3,1,22,False,34.0,13,9,4
2025-10-08 02:14:46,de_dust2,Loss,13,14,4,7,54.0,0.93,0.72,2,87.6,0,3,3,0,18,False,25.6,13,5,8
2025-10-07 02:25:34,de_nuke,Win,31,26,12,12,39.0,1.19,0.89,3,106.9,3,3,6,3,35,True,58.8,16,19,-3
2025-10-07 01:34:32,de_dust2,Loss,10,13,5,6,60.0,0.77,0.56,1,70.1,3,2,5,3,18,False,26.6,13,5,8
2025-10-06 02:02:15,de_dust2,Loss,14,16,6,9,64.0,0.88,0.61,1,70.1,2,2,4,2,23,False,37.1,10,13,-3
2025-10-06 01:18:27,de_inferno,Loss,13,13,3,5,38.0,1.0,0.59,1,66.3,2,1,3,2,22,False,39.6,9,13,-4
